epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.7888,0.92739,0.81081,0.997,0.55007,0.00332574,0.00332574,0.00332574
2,101.001,0.49641,0.51051,0.997,1.43741,0.00659315,0.00659315,0.00659315
3,148.036,0.50363,0.69369,0.997,0.79233,0.00979456,0.00979456,0.00979456
4,194.923,0.52607,0.84985,0.997,0.41278,0.009703,0.009703,0.009703
5,241.819,0.47339,0.85886,0.997,0.3673,0.009604,0.009604,0.009604
6,288.831,0.4178,0.9009,0.997,0.36016,0.009505,0.009505,0.009505
7,336.027,0.35886,0.90691,1,0.22029,0.009406,0.009406,0.009406
8,383.252,0.29977,0.92192,0.99399,0.25616,0.009307,0.009307,0.009307
9,430.455,0.27407,0.85886,1,0.38247,0.009208,0.009208,0.009208
10,477.629,0.26548,0.93093,1,0.20302,0.009109,0.009109,0.009109
11,524.826,0.23314,0.94294,1,0.16224,0.00901,0.00901,0.00901
12,572.068,0.21003,0.93994,1,0.21648,0.008911,0.008911,0.008911
13,619.194,0.20546,0.94595,1,0.1518,0.008812,0.008812,0.008812
14,666.436,0.19498,0.95195,1,0.1106,0.008713,0.008713,0.008713
15,713.659,0.18942,0.94895,1,0.14336,0.008614,0.008614,0.008614
16,760.855,0.17457,0.96997,1,0.083,0.008515,0.008515,0.008515
17,808.131,0.15708,0.96396,1,0.11567,0.008416,0.008416,0.008416
18,855.393,0.15761,0.96096,1,0.14868,0.008317,0.008317,0.008317
19,902.559,0.14594,0.96396,1,0.09798,0.008218,0.008218,0.008218
20,949.752,0.13589,0.95495,1,0.14822,0.008119,0.008119,0.008119
21,996.901,0.12643,0.96697,1,0.11234,0.00802,0.00802,0.00802
22,1044.14,0.12586,0.95495,1,0.17845,0.007921,0.007921,0.007921
23,1091.38,0.11811,0.96697,1,0.15621,0.007822,0.007822,0.007822
24,1138.57,0.09659,0.97297,1,0.08855,0.007723,0.007723,0.007723
25,1185.79,0.0967,0.97598,1,0.05401,0.007624,0.007624,0.007624
26,1233.07,0.10349,0.97598,1,0.06592,0.007525,0.007525,0.007525
27,1280.34,0.0899,0.96997,1,0.06553,0.007426,0.007426,0.007426
28,1327.52,0.09014,0.97297,1,0.06419,0.007327,0.007327,0.007327
29,1374.73,0.09858,0.96997,1,0.08053,0.007228,0.007228,0.007228
30,1421.93,0.08836,0.96697,1,0.08095,0.007129,0.007129,0.007129
31,1469.13,0.08233,0.97898,1,0.06439,0.00703,0.00703,0.00703
32,1516.36,0.08801,0.97598,1,0.0707,0.006931,0.006931,0.006931
33,1563.56,0.0745,0.98498,1,0.05881,0.006832,0.006832,0.006832
34,1610.79,0.07697,0.97297,1,0.06983,0.006733,0.006733,0.006733
35,1658,0.09288,0.96697,1,0.10045,0.006634,0.006634,0.006634
36,1705.24,0.07201,0.98198,1,0.05763,0.006535,0.006535,0.006535
37,1752.44,0.07078,0.96396,1,0.10087,0.006436,0.006436,0.006436
38,1799.67,0.06525,0.96997,1,0.05784,0.006337,0.006337,0.006337
39,1846.9,0.05266,0.96997,1,0.08851,0.006238,0.006238,0.006238
40,1894.12,0.04704,0.97598,1,0.06914,0.006139,0.006139,0.006139
41,1941.33,0.05515,0.97598,1,0.05489,0.00604,0.00604,0.00604
42,1988.59,0.05778,0.97297,1,0.06556,0.005941,0.005941,0.005941
43,2035.78,0.05634,0.96697,1,0.08815,0.005842,0.005842,0.005842
